Stations_id	von_datum	bis_datum	Stationshoehe	geoBreite	geoLaenge	Stationsname	Bundesland
599	19840101	19971201	62	507.055	71.467	Bonn-Friesdorf	Nordrhein-Westfalen
603	20010403	20240126	147	507.293	72.040	Königswinter-Heiderhof	Nordrhein-Westfalen
617	20040601	20240126	47	518.730	68.863	Borken	Nordrhein-Westfalen
656	19480101	20240126	607	517.234	106.021	Braunlage	Niedersachsen
662	19510101	20240126	81	522.915	104.464	Braunschweig	Niedersachsen
685	20020101	20061031	585	499.017	94.281	Breitsol	Bayern
691	19490101	20240126	4	530.451	87.981	Bremen	Bremen
701	19490101	20240126	7	535.332	85.761	Bremerhaven	Bremen
704	19910101	20240126	11	534.451	91.390	Bremervörde	Niedersachsen
722	19510101	20240126	1135	517.986	106.183	Brocken	Sachsen-Anhalt
755	20040601	20240126	340	495.182	93.213	Buchen,	Baden-Württemberg
757	20040601	20240126	445	479.625	79.983	Buchenbach	Baden-Württemberg
760	20171201	20240126	83	533.629	99.435	Rosengarten-Klecken	Niedersachsen
766	20020101	20240126	477	501.745	70.595	Büchel-Alflen	Rheinland-Pfalz
769	20020101	20240126	68	522.817	90.890	Bückeburg	Niedersachsen
817	20050201	20240126	293	510.306	88.146	Burgwald-Bottendorf	Hessen
840	19910101	20240126	895	504.313	126.114	Carlsfeld	Sachsen
850	20020101	20240126	45	525.959	100.296	Celle	Niedersachsen
853	19510101	20240126	416	507.913	128.720	Chemnitz	Sachsen
856	19910101	20240126	551	478.843	125.404	Chieming	Bayern
860	20231001	20240126	80	522.731	100.163	Algermissen-Groß	Niedersachsen
863	20071001	20120403	585	517.904	103.470	Clausthal-Zellerfeld	Niedersachsen
867	19470101	20240126	344	503.066	109.679	Lautertal-Oberlauter	Bayern
876	19730101	19890101	314	513.040	130.096	Collmberg	Sachsen
879	20020101	20030611	68	517.667	142.833	Cottbus	Brandenburg
880	19560101	20240126	69	517.759	143.168	Cottbus	Brandenburg
891	19510101	20240126	5	538.713	87.060	Cuxhaven	Niedersachsen
896	20040801	20240126	170	510.778	108.619	Dachwig	Thüringen
917	20040901	20240126	162	498.809	86.779	Darmstadt	Hessen
919	19580101	19720101	169	498.697	86.796	Darmstadt-Botanischer	Hessen
920	19720101	19870929	108	498.564	85.929	Darmstadt	Hessen
953	19550101	20240126	481	497.619	70.542	Deuselbach	Rheinland-Pfalz
954	20000501	20221121	0	541.796	74.587	UFS	Hamburg
963	19940103	20240126	38	525.881	83.424	Diepholz	Niedersachsen
979	20040901	20230313	314	507.364	82.672	Dillenburg	Hessen
982	19760101	19780601	420	485.701	104.985	Dillingen/Donau	Bayern
983	20061201	20240126	419	485.562	105.599	Dillingen/Donau-Fristingen	Bayern
991	20050201	20240126	359	509.116	137.087	Dippoldiswalde-Reinberg	Sachsen
998	19961001	20090201	696	487.968	84.921	Dobel	Baden-Württemberg
1001	19810101	20240126	97	516.451	135.747	Doberlug-Kirchhain	Brandenburg
1048	19730101	20240126	228	511.278	137.543	Dresden-Klotzsche	Sachsen
1050	20060401	20240126	112	510.221	138.470	Dresden-Hosterwitz	Sachsen
1051	20070301	20230814	119	510.249	137.750	Dresden-Strehlen	Sachsen
1052	20040701	20240126	80	522.174	121.641	Möckern-Drewitz	Sachsen-Anhalt
1072	20040601	20240126	107	494.719	81.929	Dürkheim,	Rheinland-Pfalz
1076	19960514	20090101	692	480.135	85.343	Dürrheim,	Baden-Württemberg
1078	19760301	20240126	37	512.960	67.686	Düsseldorf	Nordrhein-Westfalen
1103	20061001	20240126	592	481.003	119.872	Ebersberg-Halbing	Bayern
1107	20041201	20240126	346	498.520	104.991	Ebrach	Bayern
1130	20020101	20050422	18	546.282	93.649	Eggebek	Schleswig-Holstein
1161	20050201	20240126	384	488.777	112.349	Eichstätt-Landershofen	Bayern
1197	19480101	20240126	463	489.895	101.312	Ellwangen-Rindelbach	Baden-Württemberg
1200	20020101	20240126	3	540.691	90.105	Elpersbüttel	Schleswig-Holstein
1207	20060301	20240126	558	502.705	122.742	Elster,	Sachsen
1214	20040801	20240126	431	482.012	81.088	Elzach-Fisnacht	Baden-Württemberg
1219	19710101	19981102	5	533.449	71.909	Emden-Nesserland	Niedersachsen
1221	19490101	19710101	0	533.707	72.236	Emden-Wolthusen	Niedersachsen
1224	20021201	20240126	201	481.378	78.351	Emmendingen-Mundingen	Baden-Württemberg
1228	20020101	20240126	0	541.651	63.460	UFS	Hamburg
1239	20040701	20080923	540	478.516	87.673	Engen/Hegau	Baden-Württemberg
1246	20150801	20240126	104	518.418	80.607	Ennigerloh-Ostenfelde	Nordrhein-Westfalen
1255	20021201	20240126	226	491.661	88.483	Eppingen-Elsenz	Baden-Württemberg
1262	19920517	20240126	446	483.477	118.134	München-Flughafen	Bayern
