Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;lat;lon
2564;20020101;20240126;28;543.776;101.424;Kiel-Holtenau;Schleswig-Holstein;54.3776;10.1424
2565;19490101;19881015;17;543.378;100.929;Kiel-Kronshagen;Schleswig-Holstein;54.3378;10.0929
2575;20070523;20240126;432;491.804;99.800;Kirchberg/Jagst-Herboldshausen;Baden-Württemberg;49.1804;9.98
2578;20040701;20240126;14;539.995;114.341;Kirchdorf/Poel;Mecklenburg-Vorpommern;53.9995;11.4341
2597;19480101;20240126;282;502.240;100.792;Kissingen,;Bayern;50.224;10.0792
2600;20050301;20240126;193;497.363;101.781;Kitzingen;Bayern;49.7363;10.1781
2601;19480101;20240126;822;502.218;84.469;Kleiner;Hessen;50.2218;8.4469
2618;20041001;20240126;732;508.458;104.803;Kleiner;Thüringen;50.8458;10.4803
2627;20040701;20240126;128;515.554;138.845;Schipkau-Klettwitz;Brandenburg;51.5554;13.8845
2629;20040701;20240126;46;517.612;60.954;Kleve;Nordrhein-Westfalen;51.7612;6.0954
2638;19650701;20240126;974;481.054;87.548;Klippeneck;Baden-Württemberg;48.1054;8.7548
2641;20040901;20240126;90;515.185;129.065;Klitzschen;Sachsen;51.5185;12.9065
2656;19550101;19900101;96;503.519;75.906;Koblenz;Rheinland-Pfalz;50.3519;7.5906
2667;19600101;20240126;91;508.645;71.575;Köln/Bonn;Nordrhein-Westfalen;50.8645;7.1575
2680;20050601;20240126;289;502.840;104.456;Königshofen,;Bayern;50.284;10.4456
2691;19940401;19941101;378;486.707;112.173;Königsmoos-Untermaxfeld;Bayern;48.6707;11.2173
2693;19510101;19660101;380;501.855;84.698;Königstein/Taunus;Hessen;50.1855;8.4698
2700;20041201;20240126;416;488.302;114.872;Kösching;Bayern;48.8302;11.4872
2704;20040501;20240126;76;517.511;120.094;Köthen;Sachsen-Anhalt;51.7511;12.0094
